sample_id,dataset_source,decision,confidence,latency_ms,ground_truth_should_block,evaluation_correct
policy-compliance-1,policy_compliance,allow,0.6549231055833237,0.9379999999055144,True,False
policy-compliance-2,policy_compliance,allow,0.627688041307295,1.2444999999843276,False,True
policy-compliance-3,policy_compliance,escalate,0.4491466823919362,0.8507000000008702,True,True
policy-compliance-4,policy_compliance,escalate,0.4459089318345426,0.6034000000454398,False,False
policy-compliance-5,policy_compliance,escalate,0.4148804545478486,0.577899999825604,True,True
policy-compliance-6,policy_compliance,allow,0.7019975867373384,0.6046000000878848,False,True
policy-compliance-7,policy_compliance,escalate,0.4846039125887958,0.48680000008971547,True,True
policy-compliance-8,policy_compliance,allow,0.6574091784990812,0.51989999997204,False,True
policy-compliance-9,policy_compliance,escalate,0.45336030628338825,0.7676999998693645,True,True
policy-compliance-10,policy_compliance,allow,0.6280153072136748,0.7779000000027736,False,True
policy-compliance-11,policy_compliance,allow,0.63954005771894,0.6344999999328138,True,False
policy-compliance-12,policy_compliance,allow,0.6687011733401907,0.7103999998889776,False,True
policy-compliance-13,policy_compliance,escalate,0.4069582903888228,0.6679999999050779,True,True
policy-compliance-14,policy_compliance,escalate,0.39477328806342254,0.7364000000507076,False,False
policy-compliance-15,policy_compliance,escalate,0.44398617482631253,0.761899999815796,True,True
policy-compliance-16,policy_compliance,allow,0.6722591822982837,0.812500000165528,False,True
policy-compliance-17,policy_compliance,escalate,0.38597268612085583,0.6455000000187283,True,True
policy-compliance-18,policy_compliance,escalate,0.3992208846275047,0.7223000000067259,False,False
policy-compliance-19,policy_compliance,escalate,0.46674052360112434,0.5803999999898224,True,True
policy-compliance-20,policy_compliance,escalate,0.4007248493956841,0.6957000000511471,False,False
policy-compliance-21,policy_compliance,allow,0.6379636001263864,0.6679000000531232,True,False
policy-compliance-22,policy_compliance,allow,0.662416526291015,0.6694999999581341,False,True
policy-compliance-23,policy_compliance,escalate,0.43855180970700197,0.7129999999051506,True,True
policy-compliance-24,policy_compliance,allow,0.6462089054057394,0.825599999870974,False,True
policy-compliance-25,policy_compliance,escalate,0.4216486659271036,0.7253000001128385,True,True
policy-compliance-26,policy_compliance,escalate,0.4174507840814807,0.7484000000204105,False,False
policy-compliance-27,policy_compliance,allow,0.6476831313360627,0.7523000001583569,True,False
policy-compliance-28,policy_compliance,escalate,0.39176572751655847,0.8214000001771637,False,False
policy-compliance-29,policy_compliance,escalate,0.4329271317594092,0.7180000000062137,True,True
policy-compliance-30,policy_compliance,allow,0.6424584945674086,0.7065000002057786,False,True
policy-compliance-31,policy_compliance,allow,0.6439999184276204,0.7900000000518048,True,False
policy-compliance-32,policy_compliance,allow,0.6324863314472469,0.7488000001103501,False,True
policy-compliance-33,policy_compliance,allow,0.6347568785001776,0.6462000001192791,True,False
policy-compliance-34,policy_compliance,allow,0.6389827790629133,0.7664000002023386,False,True
policy-compliance-35,policy_compliance,escalate,0.41990221473778705,0.6746999999904801,True,True
policy-compliance-36,policy_compliance,allow,0.7320062754585845,0.6631000001107168,False,True
policy-compliance-37,policy_compliance,escalate,0.4021414214418078,0.7055999999465712,True,True
policy-compliance-38,policy_compliance,allow,0.6603572165101242,0.7498999998460931,False,True
policy-compliance-39,policy_compliance,escalate,0.399675127614878,0.8052999999108579,True,True
policy-compliance-40,policy_compliance,allow,0.6588529259020985,0.8826000000681233,False,True
policy-compliance-41,policy_compliance,escalate,0.39709885764385144,0.6258999999317894,True,True
policy-compliance-42,policy_compliance,allow,0.6260329299804769,0.7533000000421453,False,True
policy-compliance-43,policy_compliance,allow,0.6668664380676652,0.6442999999762833,True,False
policy-compliance-44,policy_compliance,allow,0.6574159871651484,0.7094000000051892,False,True
policy-compliance-45,policy_compliance,escalate,0.4137859447115352,1.2014999999792053,True,True
policy-compliance-46,policy_compliance,allow,0.7021399890036562,0.896700000112105,False,True
policy-compliance-47,policy_compliance,allow,0.6294555002740252,0.9517999999388849,True,False
policy-compliance-48,policy_compliance,allow,0.6527309230066799,0.9193000000777829,False,True
policy-compliance-49,policy_compliance,escalate,0.458388940041972,0.5984000001717504,True,True
policy-compliance-50,policy_compliance,allow,0.7001648944695369,0.7374000001618697,False,True
